id,subcategory_id,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,46,modelo,Modelo,seleccion,1,Fisher Price,Crayola,Elmer's,Kidkraft,Play-Doh,Melissa&Doug,Cabbage Patch,Cat,Geli,Nenuco,Step2,My little pony,Distroller,Little mommy,Hot Wheels,Lego,Little People,Little Tikes,ItsIMagical,Lamaze,Play Mobil,Mega Bloks,Baby Einstein,Tiny Love,Brigth Starts ,DC Comics,Alex,Build a Bear,Leap Frog,Playgro,Playskool,Nickelodeon,Mattel,Marvel,Hasbro,Hello Kitty,Vtech,Barbie,Tiny Love,Diako,Baby Alive,Disney,Funko Pop,Nostalgia,Glacier Jackson,Paw Patrol,Diver Zone ,Maya group ,Mattel Barbie ,Hape ,Hatchimals,Kiddeieland ,Star wars ,Flight ,Pottery barn ,Guitar hero ,Mattel Max steel ,PlayMind ,Marvel ,Tonka ,Rick ,Educational insights ,Spin master ,juguete de madera ,Chicco,Nerf,Cars,Artesanal,Buzz,Imaginarium,LittleTikes,Walmart,Pin Pon,Polly Pocket,Peppa Pig,Mi Alegria,Pin&pon,Prinsel,Burder,Battat,Novelty ,Toy State,Hasbro ,Disney ,Smart start,Bandai,Imaginext,Franklin,Dundy,Toy Story,Musical,Figuras,Walkie Talkie,Electronico,Hamleys,Learning resources,Lol,Infantino,Tasco,Excellerations,Tickit,Taf Toys,Louisville,Rawlings,Fao Schwarz,Pressman,Carrera ,Silverlit,Power Drive,PlayMobil,Monster Truck
84,46,edad,Rango de edad recomendado,seleccion,2,0-2 años,3-4 años,5-6 años,Mas de 6 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,47,talla,Talla,seleccion,1,0-12m,2-3 años,4-5 años,6-7 años,8-9 años,10-11 años,+12 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,47,modelo,Modelo,seleccion,2,Genérico,Ruz ,Disney,Marvel,Dc comics,Melissa&Dough,Oficios,Personajes,Super Héroes,Animales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,48,modelo,Modelo,seleccion,1,"['Juego de mesa'"""," '""Jenga'"""," '""Loter√≠a'"""," '""Domin√≥'"""," '""UNO'"""," '""Rompecabezas'"""," '""Ajedrez'"""," '""Memory'"""," '""Otro'""]""",34:31.4,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,49,modelo,Modelo,seleccion,1,Luz y sonido,Sencilla,Sonido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,50,modelo,Modelo,seleccion,1,"['Libro interactivo'"""," '""Bebes'""",Niños,Lectura," '""Rompecabezas'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,50,cantidad_piezas,Cantidad de piezas,seleccion,2,"['24 piezas'"""," '""48 piezas'"""," '""100 piezas'"""," '""200 piezas'"""," '""300 piezas'"""," '""500 piezas'"""," '""1000 piezas'"""," '""Otro'""",,,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,51,modelo,Modelo,seleccion,1,"['Gimnasio'"""," '""Tapete'"""," '""Tapete Actividades'""]""",Foamy,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,51,tipo,Tipo,seleccion,2,Chico,Grande," '""Con luz y sonido'"""," '""Did√°ctico'"""," '""Otro'""]""",34:31.4,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,52,modelo,Modelo,seleccion,1,Fija ,Plegable,3 en 1,,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,52,con_luz_sonido,Con luces y sonido,seleccion,2,"['Luces y sonido'"""," '""Sin luces y sonido'""]""",34:31.4,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,53,modelo,Modelo,seleccion,1,Correpasillos,Montable y correpasillos,Montable,Andarin ," '""Mecedor'""",," '""Otro'""]""",34:31.4,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,53,con_luz_sonido,Con luces y sonido,seleccion,2,Con bastón,Sin bastón,Empuje con piernas,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,54,modelo,Modelo,seleccion,1,"['El√©ctrico'"""," '""Pedales'"""," '""Empuje'""]""",34:31.4,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,54,tipo,Tipo,seleccion,2,Control remoto,Sin control remoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,54,baston,Baston,seleccion,3,Con bastón de empuje,Sin bastón de empuje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,54,techo,Techo,seleccion,4,Con techo,Sin techo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,55,modelo,Modelo,seleccion,1,R-12 / 2-3a,R-14 / 3-4a,R-16 / 3-5a,R-18 / 4-6a,R+20 +6a,Triciclo Pequeño,Triciclo Grande,Bicicleta de Equilibrio,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,55,ruedas_auxiliares,Ruedas auxiliares,seleccion,2,"['Con ruedas auxiliares'"""," '""Sin ruedas auxiliares'""",3 en 1,Con accesorios,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,56,modelo,Modelo,seleccion,1,Avalancha,Patineta,Patines,Scooter pequeño,Scooter Grande,Street rollers ,Wagon,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,57,modelo,Modelo,seleccion,1,Casitas,Columpios,Resbaladillas,Juegos integrados,Juegos Estimulación,Juegos de agua,Bancas,Areneros,Escaladora,Trampolines,Sube y baja,Albercas de pelotas,Cocinita,Escritorios,Mesa,Mesa con sillas,Sillas,Muebles de juguete,Túneles,Pizarrones,Juguetero,Mesas de tren/pistas,Librero,Mesas laberintos ,Mesas juguetes,Mesas de herramientas,Corral armable,Montables,Remolque,Alberca inflable,Tabla de equilibrio ,Cosina ,Canasta ,Torre iron man ,Tapete Piano ,Juego de veterinario ,Alberca de pelotas ,Tipee,Puff,Cama,Cajonera,Inflable,Cubos,Garage,Mesa de agua,Mesa Laberinto,Pista,Sillón,Tapetes,Piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,57,tamano,Tama√±o,seleccion,2,"['Peque√±o'"""," '""Mediano'"""," '""Grande'""]""",34:31.4,34:31.4,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
