codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,precio_online,estado
ADAP001,Accesorios de alimentación,A comer,Pigeon,Red papillas,1,250.00,BAJO STOCK
AUTP001,Autoasientos,A pasear,Cybex,"",1,2689.20,BAJO STOCK
AUTP002,Autoasientos,A pasear,Maxicosi,"",1,2970.00,BAJO STOCK
AUTP003,Autoasientos,A pasear,Maxicosi,"",1,3495.00,BAJO STOCK
AUTP004,Autoasientos,A pasear,Cybex,"",1,2689.20,BAJO STOCK
AUTP005,Autoasientos,A pasear,Maxicosi,"",1,2970.00,BAJO STOCK
AUTP006,Autoasientos,A pasear,Maxicosi,"",1,3495.00,BAJO STOCK
AUTP007,Autoasientos,A pasear,Uppababy,"",1,3013.20,BAJO STOCK
AUTP008,Autoasientos,A pasear,Mon,"",1,2430.00,BAJO STOCK
AUTP009,Autoasientos,A pasear,Cybex,"",1,3234.60,BAJO STOCK
AUTP012,Autoasientos,A pasear,Nuna,"",1,8000.00,BAJO STOCK
AUTP013,Autoasientos,A pasear,Britax,"",1,4590.00,BAJO STOCK
AUTP014,Autoasientos,A pasear,Chicco,"",1,3834.00,BAJO STOCK
AUTP015,Autoasientos,A pasear,Joie,"",1,4590.00,BAJO STOCK
AUTP016,Autoasientos,A pasear,Chicco,"",1,3942.00,BAJO STOCK
AUTP017,Autoasientos,A pasear,Nuna,"",1,8000.00,BAJO STOCK
AUTP018,Autoasientos,A pasear,Evenflo,"",1,1566.00,BAJO STOCK
AUTP019,Autoasientos,A pasear,Britax,"",1,2154.60,BAJO STOCK
AUTP021,Autoasientos,A pasear,Chicco,"",1,2538.00,BAJO STOCK
AUTP022,Autoasientos,A pasear,Cybex,"",1,4854.60,BAJO STOCK
AUTP023,Autoasientos,A pasear,Britax,"",1,3132.00,BAJO STOCK
AYDP001,Almohadas y donas,A dormir,Dona,"",1,217.80,BAJO STOCK
AYDP002,Almohadas y donas,A dormir,Dona,"",1,431.20,BAJO STOCK
AYDP003,Almohadas y donas,A dormir,Almohada,"",1,275.00,BAJO STOCK
AYDP004,Almohadas y donas,A dormir,General,"",1,104.50,BAJO STOCK
AYDP005,Almohadas y donas,A dormir,Chicco,"",1,385.00,BAJO STOCK
AYDP006,Almohadas y donas,A dormir,Boppy,"",1,385.00,BAJO STOCK
AYDP007,Almohadas y donas,A dormir,Nido,"",1,495.00,BAJO STOCK
AYDP008,Almohadas y donas,A dormir,Bompy,"",1,319.00,BAJO STOCK
AYDP009,Almohadas y donas,A dormir,Holo,"",1,874.50,BAJO STOCK
AYDP010,Almohadas y donas,A dormir,Chicco,"",1,434.50,BAJO STOCK
AYDP011,Almohadas y donas,A dormir,Mon,"",1,324.50,BAJO STOCK
AYDP012,Almohadas y donas,A dormir,Babymoon,"",1,214.50,BAJO STOCK
BPCP001,Barandal para cama,A dormir,North States,180 cm,1,105.00,BAJO STOCK
BRIP002,Brincolines,En Casa,Fisher,"",1,1701.00,BAJO STOCK
BRIP003,Brincolines,En Casa,Fisher,"",1,1701.00,BAJO STOCK
BRIP004,Brincolines,En Casa,Fisher,"",1,935.00,BAJO STOCK
BRIP005,Brincolines,En Casa,Prinsel,"",1,984.50,BAJO STOCK
BRIP006,Brincolines,En Casa,Dbebe,"",1,1614.60,BAJO STOCK
BRIP007,Brincolines,En Casa,Fisher,"",1,2646.00,BAJO STOCK
CARP002,Carriolas,A pasear,Stokke,"",1,7325.00,BAJO STOCK
CARP003,Carriolas,A pasear,Stokke,"",1,7325.00,BAJO STOCK
CARP004,Carriolas,A pasear,Prinsel,"",1,5022.00,BAJO STOCK
CARP005,Carriolas,A pasear,UppaBaby,"",1,6490.00,BAJO STOCK
CARP006,Carriolas,A pasear,Bugaboo,"",1,4590.00,BAJO STOCK
CARP007,Carriolas,A pasear,Chicco,"",1,2850.00,BAJO STOCK
CARP008,Carriolas,A pasear,Bugaboo,"",1,3690.00,BAJO STOCK
CARP009,Carriolas,A pasear,Buggy,"",1,3099.00,BAJO STOCK
CARP010,Carriolas,A pasear,Maclaren,"",1,10249.20,BAJO STOCK
CARP011,Carriolas,A pasear,Chicco,"",1,4806.00,BAJO STOCK
CARP012,Carriolas,A pasear,Safety,"",1,3510.00,BAJO STOCK
CARP013,Carriolas,A pasear,Infanti,"",1,2322.00,BAJO STOCK
CARP014,Carriolas,A pasear,Chicco,"",1,5929.20,BAJO STOCK
CARP015,Carriolas,A pasear,Joovy,"",1,2370.60,BAJO STOCK
CARP016,Carriolas,A pasear,Joovy,"",1,2370.60,BAJO STOCK
CARP017,Carriolas,A pasear,Chicco,"",1,5670.00,BAJO STOCK
CARP018,Carriolas,A pasear,Bugaboo,"",1,7995.00,BAJO STOCK
CARP019,Carriolas,A pasear,Baby,"",1,759.00,BAJO STOCK
CARP020,Carriolas,A pasear,Britax,"",1,5995.00,BAJO STOCK
CARP021,Carriolas,A pasear,GB,"",1,4849.20,BAJO STOCK
CARP022,Carriolas,A pasear,Graco,"",1,5130.00,BAJO STOCK
CARP023,Carriolas,A pasear,Stokke,"",1,9714.60,BAJO STOCK
CARP024,Carriolas,A pasear,Stokke,"",1,7995.00,BAJO STOCK
CARP025,Carriolas,A pasear,Bugaboo,"",1,8990.00,BAJO STOCK
CARP026,Carriolas,A pasear,Chicco,"",1,4860.00,BAJO STOCK
CARP027,Carriolas,A pasear,Donna,"",1,6469.20,BAJO STOCK
CARP028,Carriolas,A pasear,Donna,"",1,9601.20,BAJO STOCK
CARP029,Carriolas,A pasear,Stokke,"",1,9714.60,BAJO STOCK
CARP030,Carriolas,A pasear,Chicco,"",1,1890.00,BAJO STOCK
CARP031,Carriolas,A pasear,Donna,"",1,7117.20,BAJO STOCK
CARP032,Carriolas,A pasear,UppaBaby,"",1,8934.60,BAJO STOCK
CARP033,Carriolas,A pasear,Cybex,"",1,6361.20,BAJO STOCK
CARP034,Carriolas,A pasear,Graco,"",1,3456.00,BAJO STOCK
CDBP001,Calentador de biberones,A comer,Evenflo,"",1,594.00,BAJO STOCK
CDBP002,Calentador de biberones,A comer,Tomme,"",1,539.00,BAJO STOCK
CDBP003,Calentador de biberones,A comer,Chicco,"",1,495.00,BAJO STOCK
CDBP004,Calentador de biberones,A comer,Tommee,"",1,434.50,BAJO STOCK
CDBP005,Calentador de biberones,A comer,Chicco,"",1,605.00,BAJO STOCK
CDBP006,Calentador de biberones,A comer,Nevi,"",1,495.00,BAJO STOCK
CDBP007,Calentador de biberones,A comer,Evenflo,"",1,467.50,BAJO STOCK
CDBP008,Calentador de biberones,A comer,Tommee,"",1,495.00,BAJO STOCK
CDBP009,Calentador de biberones,A comer,Dr.,"",1,935.00,BAJO STOCK
CDMP002,Cunas de madera,A dormir,Step2,"",1,4957.20,BAJO STOCK
CDMP003,Cunas de madera,A dormir,Step2,"",1,4957.20,BAJO STOCK
CDMP004,Cunas de madera,A dormir,Mon,"",1,6950.00,BAJO STOCK
CDMP005,Cunas de madera,A dormir,Pottery,"",1,15930.00,BAJO STOCK
CDMP006,Cunas de madera,A dormir,Camita,"",1,1590.00,BAJO STOCK
CDMP007,Cunas de madera,A dormir,Grand,"",1,13500.00,BAJO STOCK
CDMP008,Cunas de madera,A dormir,Baby&amp;Kids,"",1,7995.00,BAJO STOCK
CDMP009,Cunas de madera,A dormir,General,"",1,2970.00,BAJO STOCK
CDMP010,Cunas de madera,A dormir,Cuna,"",1,2495.00,BAJO STOCK
CDMP011,Cunas de madera,A dormir,General,"",1,4309.20,BAJO STOCK
CDMP012,Cunas de madera,A dormir,Babys,"",1,10495.00,BAJO STOCK
CDMP013,Cunas de madera,A dormir,Hamaca,"",1,324.50,BAJO STOCK
CDMP014,Cunas de madera,A dormir,Babyletto,"",1,7980.00,BAJO STOCK
CDVP001,Cunas de viaje,A dormir,Phil&Teds,"",1,1825.20,BAJO STOCK
CDVP002,Cunas de viaje,A dormir,Evenflo,"",1,1560.00,BAJO STOCK
CDVP004,Cunas de viaje,A dormir,Baby,"",1,1825.20,BAJO STOCK
CDVP005,Cunas de viaje,A dormir,Chicco,"",1,3234.60,BAJO STOCK
CDVP006,Cunas de viaje,A dormir,Prinsel,"",1,1808.55,BAJO STOCK
CDVP007,Cunas de viaje,A dormir,Safety,"",1,1701.00,BAJO STOCK
CDVP008,Cunas de viaje,A dormir,Chicco,"",1,4314.60,BAJO STOCK
CDVP009,Cunas de viaje,A dormir,BabyMoov,"",1,654.50,BAJO STOCK
CDVP010,Cunas de viaje,A dormir,Tuc,"",1,1074.60,BAJO STOCK
CDVP011,Cunas de viaje,A dormir,Mon,"",1,2430.00,BAJO STOCK
CDVP012,Cunas de viaje,A dormir,Babybjorn,"",1,2694.60,BAJO STOCK
CDVP013,Cunas de viaje,A dormir,Mini,"",1,1134.00,BAJO STOCK
GYTP001,Gimnasios y tapetes,A jugar,Perrito,"",1,140.00,BAJO STOCK
GYTP002,Gimnasios y tapetes,A jugar,Skip,"",1,645.00,BAJO STOCK
GYTP003,Gimnasios y tapetes,A jugar,Chico,"",1,295.00,BAJO STOCK
GYTP004,Gimnasios y tapetes,A jugar,Fisher,"",1,625.00,BAJO STOCK
GYTP005,Gimnasios y tapetes,A jugar,MOncaramel,"",1,357.50,BAJO STOCK
GYTP006,Gimnasios y tapetes,A jugar,Skip,"",1,1242.00,BAJO STOCK
GYTP007,Gimnasios y tapetes,A jugar,Bright,"",1,388.08,BAJO STOCK
GYTP008,Gimnasios y tapetes,A jugar,Chiquimundo,"",1,418.00,BAJO STOCK
GYTP009,Gimnasios y tapetes,A jugar,Fisher,"",1,209.00,BAJO STOCK
GYTP010,Gimnasios y tapetes,A jugar,Fisher,"",1,275.00,BAJO STOCK
GYTP011,Gimnasios y tapetes,A jugar,General,"",1,418.00,BAJO STOCK
GYTP012,Gimnasios y tapetes,A jugar,Biyu,"",1,247.50,BAJO STOCK
GYTP013,Gimnasios y tapetes,A jugar,Melissa&Dough,"",1,930.05,BAJO STOCK
GYTP014,Gimnasios y tapetes,A jugar,Tiny,"",1,984.50,BAJO STOCK
GYTP015,Gimnasios y tapetes,A jugar,Fisher,"",1,544.50,BAJO STOCK
HYAP006,Higiene y accesorios,En Casa,Boon,"",1,395.00,BAJO STOCK
HYAP007,Higiene y accesorios,En Casa,Boon,"",1,495.00,BAJO STOCK
HYAP008,Higiene y accesorios,En Casa,Summer,"",1,247.00,BAJO STOCK
HYAP010,Higiene y accesorios,En Casa,General,"",1,495.00,BAJO STOCK
HYAP011,Higiene y accesorios,En Casa,Jool,"",1,324.50,BAJO STOCK
HYAP012,Higiene y accesorios,En Casa,General,"",1,77.00,BAJO STOCK
HYAP013,Higiene y accesorios,En Casa,Munchkin,"",1,522.50,BAJO STOCK
HYAP014,Higiene y accesorios,En Casa,Munchkin,"",1,595.00,BAJO STOCK
HYAP015,Higiene y accesorios,En Casa,Huggies,"",1,825.00,BAJO STOCK
HYAP016,Higiene y accesorios,En Casa,Huggies,"",1,495.00,BAJO STOCK
HYAP018,Higiene y accesorios,En Casa,Kleen,"",1,132.00,BAJO STOCK
JGGP002,Juegos grandes,A jugar,PlegableCasitas,"",1,319.00,BAJO STOCK
JGGP003,Juegos grandes,A jugar,Tipee,"",1,825.00,BAJO STOCK
JGGP004,Juegos grandes,A jugar,General,"",1,484.00,BAJO STOCK
JGGP005,Juegos grandes,A jugar,Melissa&,"",1,1609.20,BAJO STOCK
JGGP006,Juegos grandes,A jugar,Vtech,"",1,1069.20,BAJO STOCK
JGGP007,Juegos grandes,A jugar,Castillo,"",1,5394.60,BAJO STOCK
JGGP008,Juegos grandes,A jugar,Baby,"",1,1282.50,BAJO STOCK
JGGP009,Juegos grandes,A jugar,Step2,"",1,2586.60,BAJO STOCK
JGGP010,Juegos grandes,A jugar,Feber,"",1,695.00,BAJO STOCK
JGGP011,Juegos grandes,A jugar,Step2,"",1,1895.00,BAJO STOCK
JGGP012,Juegos grandes,A jugar,Step2,"",1,2754.00,BAJO STOCK
JGGP013,Juegos grandes,A jugar,Ikea,"",1,764.50,BAJO STOCK
JGGP014,Juegos grandes,A jugar,Its,"",1,1566.00,BAJO STOCK
JGGP015,Juegos grandes,A jugar,Joy&Fun,"",1,324.50,BAJO STOCK
JUGP003,Juguetes,A jugar,Fisher,"",1,132.00,BAJO STOCK
JUGP004,Juguetes,A jugar,Patines,"",1,1242.00,BAJO STOCK
JUGP005,Juguetes,A jugar,Hot,"",1,1701.00,BAJO STOCK
JUGP006,Juguetes,A jugar,General,"",1,742.50,BAJO STOCK
JUGP007,Juguetes,A jugar,General,"",1,539.00,BAJO STOCK
JUGP008,Juguetes,A jugar,General,"",1,539.00,BAJO STOCK
JUGP009,Juguetes,A jugar,General,"",1,550.00,BAJO STOCK
JUGP010,Juguetes,A jugar,General,"",1,407.00,BAJO STOCK
JUGP011,Juguetes,A jugar,Kipling,"",1,1998.00,BAJO STOCK
JUGP012,Juguetes,A jugar,General,"",1,659.99,BAJO STOCK
JUGP013,Juguetes,A jugar,General,"",1,429.00,BAJO STOCK
JUGP014,Juguetes,A jugar,Tous,"",1,1890.00,BAJO STOCK
JUGP015,Juguetes,A jugar,General,"",1,654.50,BAJO STOCK
JUGP016,Juguetes,A jugar,Tous,"",1,1242.00,BAJO STOCK
JUGP017,Juguetes,A jugar,General,"",1,1458.00,BAJO STOCK
JUGP018,Juguetes,A jugar,General,"",1,324.50,BAJO STOCK
JUGP019,Juguetes,A jugar,General,"",1,484.00,BAJO STOCK
JUGP020,Juguetes,A jugar,General,"",1,231.00,BAJO STOCK
JUGP021,Juguetes,A jugar,General,"",1,324.50,BAJO STOCK
JUGP022,Juguetes,A jugar,General,"",1,654.50,BAJO STOCK
JUGP023,Juguetes,A jugar,General,"",1,352.00,BAJO STOCK
JUGP024,Juguetes,A jugar,General,"",1,495.00,BAJO STOCK
JUGP025,Juguetes,A jugar,General,"",1,616.00,BAJO STOCK
JUGP026,Juguetes,A jugar,General,"",1,880.00,BAJO STOCK
JUGP027,Juguetes,A jugar,General,"",1,1393.20,BAJO STOCK
JUGP028,Juguetes,A jugar,General,"",1,643.50,BAJO STOCK
JUGP029,Juguetes,A jugar,General,"",1,429.00,BAJO STOCK
JUGP030,Juguetes,A jugar,General,"",1,506.00,BAJO STOCK
JUGP031,Juguetes,A jugar,Pañalera,"",1,748.00,BAJO STOCK
JUGP032,Juguetes,A jugar,Nature,"",1,324.50,BAJO STOCK
JUGP033,Juguetes,A jugar,Lansinoh,"",1,2189.00,BAJO STOCK
JUGP034,Juguetes,A jugar,Evenflo,"",1,247.50,BAJO STOCK
JUGP035,Juguetes,A jugar,Lansinoh,"",1,2189.00,BAJO STOCK
JUGP036,Juguetes,A jugar,Ameda,"",1,2322.00,BAJO STOCK
JUGP038,Juguetes,A jugar,Avent,"",1,1296.00,BAJO STOCK
JUGP039,Juguetes,A jugar,Free,"",1,6990.00,BAJO STOCK
JUGP040,Juguetes,A jugar,Avent,"",1,1296.00,BAJO STOCK
JUGP041,Juguetes,A jugar,Chicco,"",1,1069.20,BAJO STOCK
JUGP042,Juguetes,A jugar,Medela,"",1,4212.00,BAJO STOCK
JUGP043,Juguetes,A jugar,Avent,"",1,1296.00,BAJO STOCK
JUGP044,Juguetes,A jugar,Medela,"",1,3186.00,BAJO STOCK
JUGP045,Juguetes,A jugar,Mochila,"",1,346.50,BAJO STOCK
JUGP046,Juguetes,A jugar,Mesa,"",1,1350.00,BAJO STOCK
JUGP047,Juguetes,A jugar,Maya,"",1,879.98,BAJO STOCK
JUGP049,Juguetes,A jugar,Fisher,"",1,495.00,BAJO STOCK
JUGP050,Juguetes,A jugar,DC,"",1,434.50,BAJO STOCK
JUGP051,Juguetes,A jugar,Cuadros,"",1,907.50,BAJO STOCK
JUGP054,Juguetes,A jugar,Rompe,"",1,605.00,BAJO STOCK
JUGP055,Juguetes,A jugar,Rompe,"",1,275.00,BAJO STOCK
JUGP056,Juguetes,A jugar,Rompe,"",1,429.00,BAJO STOCK
JUGP057,Juguetes,A jugar,Fisher,"",1,203.50,BAJO STOCK
JUGP058,Juguetes,A jugar,Marvel,"",1,99.00,BAJO STOCK
JUGP059,Juguetes,A jugar,Rick,"",1,605.00,BAJO STOCK
JUGP061,Juguetes,A jugar,Ruz,"",1,495.00,BAJO STOCK
JUGP062,Juguetes,A jugar,Rompe,"",1,495.00,BAJO STOCK
JUGP063,Juguetes,A jugar,Rompe,"",1,99.00,BAJO STOCK
JUGP064,Juguetes,A jugar,joovy,"",1,1069.20,BAJO STOCK
JUGP065,Juguetes,A jugar,Fisher,"",1,198.00,BAJO STOCK
JUGP066,Juguetes,A jugar,Tiny,"",1,385.00,BAJO STOCK
JUGP067,Juguetes,A jugar,Tiny,"",1,165.00,BAJO STOCK
JUGP068,Juguetes,A jugar,Taf,"",1,346.50,BAJO STOCK
JUGP069,Juguetes,A jugar,Chicco,"",1,715.00,BAJO STOCK
JUGP070,Juguetes,A jugar,BabyBjorn,"",1,2149.20,BAJO STOCK
JUGP072,Juguetes,A jugar,Tiny,"",1,275.00,BAJO STOCK
JUGP074,Juguetes,A jugar,ItsIMagical,"",1,275.00,BAJO STOCK
JUGP075,Juguetes,A jugar,Marvel,"",1,242.00,BAJO STOCK
JUGP076,Juguetes,A jugar,General,"",1,175.00,BAJO STOCK
JUGP077,Juguetes,A jugar,Disfraces,"",1,165.00,BAJO STOCK
