,Compra,Compra,Compra,Compra,Venta,Venta,Venta,Venta
Cuerpo completo,Económico,Estándar,Alto,Premium,Económico,Estándar,Alto,Premium
Abrigo,40.00,70.00,130.00,170.00,195.00,285.00,395.00,495.00
Bata,15.00,20.00,40.00,60.00,60.00,80.00,125.00,150.00
Bata de baño,20.00,30.00,50.00,90.00,85.00,120.00,160.00,250.00
Traje,35.00,60.00,110.00,130.00,190.00,250.00,325.00,395.00
Comando grueso,40.00,60.00,100.00,125.00,175.00,275.00,350.00,450.00
Comando ligero,35.00,50.00,90.00,120.00,125.00,185.00,275.00,350.00
Conjunto bebes,20.00,30.00,50.00,80.00,80.00,125.00,160.00,225.00
Conjunto,40.00,50.00,100.00,150.00,175.00,220.00,300.00,450.00
Costalito,20.00,40.00,100.00,120.00,95.00,150.00,275.00,375.00
Gabardina,40.00,60.00,100.00,150.00,175.00,235.00,350.00,450.00
Impermeable,20.00,40.00,90.00,130.00,95.00,175.00,250.00,395.00
Mameluco,15.00,20.00,59.50,90.00,80.00,95.00,170.00,245.00
Overall,30.00,40.00,65.00,90.00,130.00,160.00,195.00,250.00
Pants completo,50.00,60.00,120.00,150.00,185.00,245.00,345.00,425.00
Pañalero exterior,10.00,15.00,30.00,50.00,40.00,60.00,95.00,150.00
Pañalero interior,5.00,6.25,15.00,30.00,20.00,25.00,50.00,90.00
Pijama corta,20.00,30.00,60.00,80.00,85.00,125.00,175.00,225.00
Pijama larga,20.00,35.00,70.00,100.00,95.00,150.00,220.00,275.00
Traje Baño Completo,30.00,40.00,70.00,100.00,125.00,165.00,225.00,325.00
Vestido niña,30.00,40.00,100.00,130.00,125.00,165.00,295.00,395.00
Vestido bebé,20.00,30.00,60.00,100.00,90.00,110.00,190.00,295.00
Vestido de fiesta,40.00,60.00,120.00,150.00,175.00,235.00,325.00,425.00
Arriba de cintura,Económico,Estándar,Alto,Premium,Económico,Estándar,Alto,Premium
Playera/Blusa Mcorta,15.00,20.00,40.00,60.00,65.00,85.00,120.00,180.00
Player/Blusa Mlarga,20.00,25.00,50.00,80.00,75.00,100.00,140.00,220.00
Camisa Mcorta,20.00,30.00,50.00,90.00,95.00,140.00,195.00,275.00
Camisa Mlarga,25.00,35.00,60.00,100.00,110.00,160.00,245.00,325.00
Polos Mlarga,25.00,40.00,90.00,120.00,100.00,170.00,225.00,350.00
Polos Mcorta,20.00,35.00,70.00,100.00,90.00,140.00,200.00,290.00
Tirantes,15.00,20.00,40.25,50.00,65.00,80.00,115.00,140.00
Chaleco Grueso,25.00,35.00,70.00,100.00,100.00,150.00,195.00,295.00
Chaleco ligero,25.00,30.00,55.00,80.00,100.00,130.00,175.00,240.00
Cham.ligera/Romp.,30.00,50.00,70.00,100.00,140.00,185.00,250.00,350.00
Chamarra Gruesa,50.00,60.00,100.00,150.00,195.00,250.00,325.00,450.00
Chamarra mezclilla,50.00,60.00,100.00,150.00,175.00,250.00,325.00,450.00
Gorro/Sombrero,5.00,10.00,30.00,50.00,25.00,45.00,95.00,150.00
Guantes y accesorios,10.00,15.00,30.00,50.00,35.00,60.00,95.00,150.00
Moños y diademas,5.00,10.00,30.00,40.00,30.00,45.00,80.00,110.00
Polos M larga,25.00,40.00,90.00,120.00,100.00,170.00,225.00,350.00
Polos Mcorta,20.00,35.00,70.00,100.00,90.00,140.00,200.00,290.00
Sudadera,30.00,40.00,80.00,100.00,120.00,155.00,225.00,325.00
Suéter,30.00,40.00,80.00,100.00,120.00,155.00,225.00,325.00
Torero,20.00,30.00,60.00,90.00,90.00,120.00,195.00,290.00
Abajo de cintura,Económico,Estándar,Alto,Premium,Económico,Estándar,Alto,Premium
Bermuda,15.00,20.00,50.00,80.00,70.00,90.00,140.00,225.00
Bikini,20.00,35.00,70.00,90.00,85.00,140.00,220.00,275.00
Calcetas,5.00,10.00,30.00,50.00,35.00,45.00,95.00,140.00
Accesorios ,10.00,20.00,40.00,50.00,40.00,75.00,120.00,160.00
Falda,15.00,25.00,40.00,70.00,75.00,95.00,140.00,245.00
Leggins / Mallas,10.00,15.00,30.00,50.00,45.00,60.00,90.00,145.00
Pantalón Mezclilla,30.00,40.00,70.00,130.00,125.00,175.00,225.00,350.00
Pantalón Tela,20.00,35.00,60.00,90.00,95.00,145.00,195.00,295.00
Pants,20.00,35.00,60.00,90.00,75.00,110.00,165.00,250.00
short,15.00,25.00,40.00,70.00,65.00,85.00,140.00,225.00
Traje de baño 1pza,20.00,35.00,70.00,90.00,85.00,140.00,220.00,275.00
Calzado,Económico,Estándar,Alto,Premium,Económico,Estándar,Alto,Premium
Botas y botines,25.00,35.00,90.00,150.00,95.00,150.00,250.00,395.00
Botas Nieve / Piel,35.00,50.00,110.00,170.00,135.00,175.00,300.00,475.00
Botas lluvia,20.00,25.00,50.00,100.00,75.00,95.00,160.00,280.00
Crocs,30.00,45.00,80.00,120.00,125.00,175.00,240.00,345.00
Huaraches,20.00,25.00,45.00,60.00,75.00,100.00,135.00,180.00
Pantuflas,15.00,20.00,40.00,50.00,50.00,85.00,110.00,135.00
Sandalias,15.00,20.00,35.00,45.00,50.00,65.00,95.00,125.00
Tennis,35.00,50.00,100.00,130.00,140.00,195.00,295.00,395.00
Zapato bebé,15.00,20.00,45.00,80.00,70.00,90.00,140.00,250.00
Zapato niño(a),25.00,35.00,65.00,100.00,100.00,140.00,195.00,295.00
Botas bebé,20.00,25.00,40.00,80.00,85.00,110.00,140.00,225.00
Zapatillas,20.00,35.00,65.00,90.00,90.00,135.00,195.00,275.00
Dama/Maternidad,Económico,Estándar,Alto,Premium,Económico,Estándar,Alto,Premium
Abrigo ,115.00,139.50,200.00,250.00,390.00,465.00,600.00,750.00
Blusa ,30.00,40.00,60.00,70.00,100.00,135.00,165.00,220.00
Camisa,30.00,45.00,60.00,80.00,110.00,145.00,175.00,245.00
Conjunto,55.00,75.00,115.00,150.00,185.00,250.00,325.00,425.00
Falda,35.00,45.00,70.00,85.00,120.00,145.00,190.00,240.00
Overall,45.00,50.00,80.00,110.00,150.00,175.00,240.00,325.00
Pantalón,35.00,60.00,80.00,110.00,120.00,190.00,235.00,325.00
Pants,35.00,40.00,70.00,80.00,120.00,145.00,190.00,240.00
Playera,25.00,34.50,50.00,80.00,90.00,115.00,150.00,225.00
Saco,65.00,90.00,150.00,200.00,220.00,300.00,450.00,600.00
Short,35.00,45.00,70.00,80.00,120.00,145.00,190.00,240.00
Suéter,45.00,55.00,90.00,110.00,145.00,190.00,245.00,325.00
Vestido,50.00,75.00,120.00,150.00,175.00,250.00,350.00,450.00
Fajas,40.00,50.00,80.00,110.00,140.00,175.00,220.00,325.00
Sandalias Dama,35.00,45.00,70.00,80.00,120.00,145.00,195.00,240.00
